"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2013,1,"Ciutat Vella",1,"el Raval",48800,"109.8","444","983"
2013,1,"Ciutat Vella",2,"el Barri Gòtic",16267,"84.2","193","477"
2013,1,"Ciutat Vella",3,"la Barceloneta",15503,"131.4","118","1185"
2013,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22769,"111.4","204","705"
2013,2,"Eixample",5,"el Fort Pienc",31738,"92.9","342","950"
2013,2,"Eixample",6,"la Sagrada Família",51806,"105.1","493","1006"
2013,2,"Eixample",7,"la Dreta de l'Eixample",43384,"212.3","204","381"
2013,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41773,"123.4","338","624"
2013,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57819,"133.8","432","880"
2013,2,"Eixample",10,"Sant Antoni",38260,"80.1","478","923"
2013,3,"Sants-Montjuïc",11,"el Poble Sec",40984,"460.5","89","1141"
2013,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1172,"1428.4","1","32"
2013,3,"Sants-Montjuïc",13,"la Marina de Port",30271,"125.5","241","774"
2013,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10313,"30.2","341","904"
2013,3,"Sants-Montjuïc",15,"Hostafrancs",15960,"41.0","389","713"
2013,3,"Sants-Montjuïc",16,"la Bordeta",18577,"57.7","322","900"
2013,3,"Sants-Montjuïc",17,"Sants - Badal",24351,"41.1","593","969"
2013,3,"Sants-Montjuïc",18,"Sants",41057,"109.8","374","739"
2013,4,"Les Corts",19,"les Corts",46183,"141.3","327","712"
2013,4,"Les Corts",20,"la Maternitat i Sant Ramon",23667,"190.3","124","724"
2013,4,"Les Corts",21,"Pedralbes",11790,"270.2","44","145"
2013,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4437,"1152.2","4","50"
2013,5,"Sarrià-Sant Gervasi",23,"Sarrià",24450,"304.2","80","260"
2013,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15984,"78.8","203","376"
2013,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24607,"223.5","110","300"
2013,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46486,"165.9","280","487"
2013,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29302,"84.6","346","551"
2013,6,"Gràcia",28,"Vallcarca i els Penitents",15453,"120.9","128","329"
2013,6,"Gràcia",29,"el Coll",7232,"35.8","202","583"
2013,6,"Gràcia",30,"la Salut",13210,"64.3","205","681"
2013,6,"Gràcia",31,"la Vila de Gràcia",50615,"132.6","382","606"
2013,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34439,"65.0","530","895"
2013,7,"Horta-Guinardó",33,"el Baix Guinardó",25641,"56.0","458","1081"
2013,7,"Horta-Guinardó",34,"Can Baró",8969,"38.4","234","625"
2013,7,"Horta-Guinardó",35,"el Guinardó",35679,"130.8","273","682"
2013,7,"Horta-Guinardó",36,"la Font d'en Fargues",9490,"65.7","144","240"
2013,7,"Horta-Guinardó",37,"el Carmel",31789,"94.2","338","813"
2013,7,"Horta-Guinardó",38,"la Teixonera",11654,"33.7","346","619"
2013,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6935,"171.6","40","383"
2013,7,"Horta-Guinardó",40,"Montbau",5111,"204.7","25","438"
2013,7,"Horta-Guinardó",41,"la Vall d'Hebron",5494,"73.6","75","674"
2013,7,"Horta-Guinardó",42,"la Clota",438,"17.8","25","72"
2013,7,"Horta-Guinardó",43,"Horta",26543,"308.2","86","419"
2013,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25543,"56.7","450","881"
2013,8,"Nou Barris",45,"Porta",24193,"84.1","288","695"
2013,8,"Nou Barris",46,"el Turó de la Peira",15593,"35.4","440","1161"
2013,8,"Nou Barris",47,"Can Peguera",2230,"12.0","187","268"
2013,8,"Nou Barris",48,"la Guineueta",15117,"61.1","247","672"
2013,8,"Nou Barris",49,"Canyelles",7102,"79.3","90","781"
2013,8,"Nou Barris",50,"les Roquetes",15768,"64.2","246","860"
2013,8,"Nou Barris",51,"Verdun",12329,"23.7","519","847"
2013,8,"Nou Barris",52,"la Prosperitat",26299,"59.5","442","965"
2013,8,"Nou Barris",53,"la Trinitat Nova",7551,"56.0","135","601"
2013,8,"Nou Barris",54,"Torre Baró",2192,"176.8","12","101"
2013,8,"Nou Barris",55,"Ciutat Meridiana",10485,"35.5","295","692"
2013,8,"Nou Barris",56,"Vallbona",1346,"59.8","23","199"
2013,9,"Sant Andreu",57,"la Trinitat Vella",10423,"81.0","129","821"
2013,9,"Sant Andreu",58,"Baró de Viver",2415,"23.0","105","617"
2013,9,"Sant Andreu",59,"el Bon Pastor",12800,"188.2","68","796"
2013,9,"Sant Andreu",60,"Sant Andreu",56476,"184.1","307","735"
2013,9,"Sant Andreu",61,"la Sagrera",28911,"97.2","297","733"
2013,9,"Sant Andreu",62,"el Congrés i els Indians",14010,"40.7","344","731"
2013,9,"Sant Andreu",63,"Navas",21811,"42.3","515","969"
2013,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",37933,"74.2","511","883"
2013,10,"Sant Martí",65,"el Clot",27169,"69.6","390","1150"
2013,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14355,"111.4","129","731"
2013,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9319,"94.3","99","385"
2013,10,"Sant Martí",68,"el Poblenou",32838,"154.5","213","771"
2013,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",12894,"123.7","104","560"
2013,10,"Sant Martí",70,"el Besòs i el Maresme",23118,"127.4","181","878"
2013,10,"Sant Martí",71,"Provençals del Poblenou",20052,"110.5","181","1487"
2013,10,"Sant Martí",72,"Sant Martí de Provençals",25994,"74.5","349","1144"
2013,10,"Sant Martí",73,"la Verneda i la Pau",29154,"112.3","260","899"
