Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE,EDAT_Q
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,0
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,3
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,4
2014,1,Ciutat Vella,1,el Raval,1,1001,9,1,5
2014,1,Ciutat Vella,1,el Raval,1,1001,5,1,6
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,7
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,8
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,9
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,11
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,12
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,14
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,16
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,0
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,3
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,4
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,5
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,6
2014,1,Ciutat Vella,1,el Raval,1,1001,5,2,7
2014,1,Ciutat Vella,1,el Raval,1,1001,9,2,8
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,9
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,10
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,12
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,14
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,16
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,17
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,0
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,1
