Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Index_Gini
2020,1,Ciutat Vella,1,el Raval,1,38
2020,1,Ciutat Vella,1,el Raval,2,37.3
2020,1,Ciutat Vella,1,el Raval,3,38.1
2020,1,Ciutat Vella,1,el Raval,4,37.3
2020,1,Ciutat Vella,1,el Raval,5,37.2
2020,1,Ciutat Vella,1,el Raval,6,40.4
2020,1,Ciutat Vella,1,el Raval,7,38.2
2020,1,Ciutat Vella,1,el Raval,8,35.3
2020,1,Ciutat Vella,1,el Raval,9,37.7
2020,1,Ciutat Vella,1,el Raval,10,36.3
2020,1,Ciutat Vella,1,el Raval,11,35.2
2020,1,Ciutat Vella,1,el Raval,12,33
2020,1,Ciutat Vella,1,el Raval,13,33.8
2020,1,Ciutat Vella,1,el Raval,14,31
2020,1,Ciutat Vella,1,el Raval,15,37
2020,1,Ciutat Vella,1,el Raval,16,30.2
2020,1,Ciutat Vella,1,el Raval,17,31.5
2020,1,Ciutat Vella,1,el Raval,18,32
2020,1,Ciutat Vella,1,el Raval,19,36
2020,1,Ciutat Vella,1,el Raval,20,37.2
2020,1,Ciutat Vella,1,el Raval,21,39
2020,1,Ciutat Vella,2,el Barri Gòtic,22,41.5
2020,1,Ciutat Vella,2,el Barri Gòtic,23,38.5
2020,1,Ciutat Vella,2,el Barri Gòtic,25,42
2020,1,Ciutat Vella,2,el Barri Gòtic,26,37.7
2020,1,Ciutat Vella,2,el Barri Gòtic,27,38.9
2020,1,Ciutat Vella,2,el Barri Gòtic,28,38.5
2020,1,Ciutat Vella,2,el Barri Gòtic,29,41.4
2020,1,Ciutat Vella,2,el Barri Gòtic,30,39.3
2020,1,Ciutat Vella,2,el Barri Gòtic,31,44.4
2020,1,Ciutat Vella,3,la Barceloneta,32,37.2
2020,1,Ciutat Vella,3,la Barceloneta,33,32.9
2020,1,Ciutat Vella,3,la Barceloneta,34,33.4
2020,1,Ciutat Vella,3,la Barceloneta,35,32.7
2020,1,Ciutat Vella,3,la Barceloneta,36,31.9
2020,1,Ciutat Vella,3,la Barceloneta,37,32.1
2020,1,Ciutat Vella,3,la Barceloneta,38,34.8
2020,1,Ciutat Vella,3,la Barceloneta,39,33.6
2020,1,Ciutat Vella,3,la Barceloneta,40,37.7
2020,1,Ciutat Vella,3,la Barceloneta,41,33.6
2020,1,Ciutat Vella,3,la Barceloneta,42,32.5
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,37.1
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,40.7
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,37.8
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,36.7
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,39.2
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,37.9
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,37.3
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,37.4
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,38.5
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,42.6
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,35.9
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,37.7
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,38.8
2020,2,L'Eixample,5,el Fort Pienc,1,35.5
2020,2,L'Eixample,5,el Fort Pienc,2,34.6
2020,2,L'Eixample,5,el Fort Pienc,3,30.4
2020,2,L'Eixample,5,el Fort Pienc,4,33.1
2020,2,L'Eixample,5,el Fort Pienc,5,31
2020,2,L'Eixample,5,el Fort Pienc,6,34.4
2020,2,L'Eixample,5,el Fort Pienc,7,32.9
2020,2,L'Eixample,5,el Fort Pienc,8,33.5
2020,2,L'Eixample,5,el Fort Pienc,9,33.9
2020,2,L'Eixample,5,el Fort Pienc,10,32.6
2020,2,L'Eixample,5,el Fort Pienc,11,30.7
2020,2,L'Eixample,5,el Fort Pienc,12,33.1
2020,2,L'Eixample,5,el Fort Pienc,13,33.4
2020,2,L'Eixample,5,el Fort Pienc,14,30.5
2020,2,L'Eixample,5,el Fort Pienc,15,33.9
2020,2,L'Eixample,5,el Fort Pienc,16,30.9
2020,2,L'Eixample,5,el Fort Pienc,17,33.8
2020,2,L'Eixample,5,el Fort Pienc,18,33.1
2020,2,L'Eixample,5,el Fort Pienc,19,33.3
2020,2,L'Eixample,5,el Fort Pienc,20,36.5
2020,2,L'Eixample,6,la Sagrada Família,21,32.6
2020,2,L'Eixample,6,la Sagrada Família,22,36.4
2020,2,L'Eixample,6,la Sagrada Família,23,29
2020,2,L'Eixample,6,la Sagrada Família,24,35.9
2020,2,L'Eixample,6,la Sagrada Família,25,33
2020,2,L'Eixample,6,la Sagrada Família,26,35.9
2020,2,L'Eixample,6,la Sagrada Família,27,33.8
2020,2,L'Eixample,6,la Sagrada Família,28,34.6
2020,2,L'Eixample,6,la Sagrada Família,29,33.1
2020,2,L'Eixample,6,la Sagrada Família,30,31
2020,2,L'Eixample,6,la Sagrada Família,31,30
2020,2,L'Eixample,6,la Sagrada Família,32,30.5
2020,2,L'Eixample,6,la Sagrada Família,33,29.6
2020,2,L'Eixample,6,la Sagrada Família,34,34.4
2020,2,L'Eixample,6,la Sagrada Família,35,32.3
2020,2,L'Eixample,6,la Sagrada Família,36,31.1
2020,2,L'Eixample,6,la Sagrada Família,37,29
2020,2,L'Eixample,6,la Sagrada Família,38,30.5
2020,2,L'Eixample,6,la Sagrada Família,39,32.2
2020,2,L'Eixample,6,la Sagrada Família,40,35.4
2020,2,L'Eixample,6,la Sagrada Família,41,34
2020,2,L'Eixample,6,la Sagrada Família,42,29.5
2020,2,L'Eixample,6,la Sagrada Família,43,34.4
2020,2,L'Eixample,6,la Sagrada Família,44,34.5
2020,2,L'Eixample,6,la Sagrada Família,45,35.3
2020,2,L'Eixample,6,la Sagrada Família,46,31.8
2020,2,L'Eixample,6,la Sagrada Família,47,36.1
2020,2,L'Eixample,6,la Sagrada Família,48,36.2
2020,2,L'Eixample,6,la Sagrada Família,49,37.5
2020,2,L'Eixample,6,la Sagrada Família,50,33.9
2020,2,L'Eixample,6,la Sagrada Família,51,37
2020,2,L'Eixample,6,la Sagrada Família,52,34.4
2020,2,L'Eixample,6,la Sagrada Família,53,36.1
2020,2,L'Eixample,6,la Sagrada Família,54,33.2
2020,2,L'Eixample,7,la Dreta de l'Eixample,55,32.9
2020,2,L'Eixample,7,la Dreta de l'Eixample,56,34.1
2020,2,L'Eixample,7,la Dreta de l'Eixample,57,35.3
2020,2,L'Eixample,7,la Dreta de l'Eixample,58,32.4
2020,2,L'Eixample,7,la Dreta de l'Eixample,59,36.8
2020,2,L'Eixample,7,la Dreta de l'Eixample,60,33.7
2020,2,L'Eixample,7,la Dreta de l'Eixample,61,36.8
2020,2,L'Eixample,7,la Dreta de l'Eixample,62,37.3
2020,2,L'Eixample,7,la Dreta de l'Eixample,63,38.7
2020,2,L'Eixample,7,la Dreta de l'Eixample,64,35.6
2020,2,L'Eixample,7,la Dreta de l'Eixample,65,37.1
2020,2,L'Eixample,7,la Dreta de l'Eixample,66,31.4
2020,2,L'Eixample,7,la Dreta de l'Eixample,67,33.7
2020,2,L'Eixample,7,la Dreta de l'Eixample,68,34.4
2020,2,L'Eixample,7,la Dreta de l'Eixample,69,36.2
2020,2,L'Eixample,7,la Dreta de l'Eixample,70,37.2
2020,2,L'Eixample,7,la Dreta de l'Eixample,71,34.3
2020,2,L'Eixample,7,la Dreta de l'Eixample,72,37.3
2020,2,L'Eixample,7,la Dreta de l'Eixample,73,37.4
2020,2,L'Eixample,7,la Dreta de l'Eixample,74,40.2
2020,2,L'Eixample,7,la Dreta de l'Eixample,75,36.6
2020,2,L'Eixample,7,la Dreta de l'Eixample,76,38.1
2020,2,L'Eixample,7,la Dreta de l'Eixample,77,42.9
2020,2,L'Eixample,7,la Dreta de l'Eixample,78,42.7
2020,2,L'Eixample,7,la Dreta de l'Eixample,79,44.4
2020,2,L'Eixample,7,la Dreta de l'Eixample,80,42.8
2020,2,L'Eixample,7,la Dreta de l'Eixample,81,40.4
2020,2,L'Eixample,7,la Dreta de l'Eixample,82,37.1
2020,2,L'Eixample,7,la Dreta de l'Eixample,83,41.2
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,84,38.1
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,85,36.9
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,86,38.9
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,87,36.5
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,88,36.4
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,89,37.5
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,90,37.5
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,91,38.2
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,92,38.6
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,93,38.7
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,94,33.6
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,95,36.2
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,96,34.4
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,97,33.1
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,98,35.7
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,99,39.1
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,100,32.5
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,101,35.2
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,102,36.6
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,103,35.7
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,104,34.6
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,105,36.2
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,106,37
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,107,32.5
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,108,36.9
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,109,35.6
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,110,36.8
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,111,36.2
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,112,32.2
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,113,33.5
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,114,33.2
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,115,36.3
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,116,33.1
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,117,34
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,118,35.8
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,119,30.4
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,120,32.8
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,121,34.9
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,122,33.1
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,123,32.5
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,124,30.2
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,125,32.5
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,126,29.9
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,127,36
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,128,35.1
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,129,35.5
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,130,32.6
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,131,36.4
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,132,35.7
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,133,28.5
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,134,33.1
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,135,34.1
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,136,33.2
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,137,35.6
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,138,33.9
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,139,34.7
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,140,31.5
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,141,34.6
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,142,36.7
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,143,35.1
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,144,37.6
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,145,41
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,146,35.7
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,147,34.6
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,148,33.6
2020,2,L'Eixample,9,la Nova Esquerra de l'Eixample,149,37.2
2020,2,L'Eixample,10,Sant Antoni,150,36.5
2020,2,L'Eixample,10,Sant Antoni,151,34
2020,2,L'Eixample,10,Sant Antoni,152,33.3
2020,2,L'Eixample,10,Sant Antoni,153,30.7
