Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
2007,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,1
2007,1,Ciutat Vella,1,el Raval,1,1001,6,58,4,2
2007,1,Ciutat Vella,1,el Raval,1,1001,..,174,4,2
2007,1,Ciutat Vella,1,el Raval,1,1001,..,179,4,2
2007,1,Ciutat Vella,1,el Raval,1,1001,..,135,1,2
2007,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,1
2007,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,2
2007,1,Ciutat Vella,1,el Raval,1,1001,..,234,3,1
2007,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,1
2007,1,Ciutat Vella,1,el Raval,1,1001,..,161,3,2
2007,1,Ciutat Vella,1,el Raval,1,1002,6,58,4,1
2007,1,Ciutat Vella,1,el Raval,1,1002,7,58,4,2
2007,1,Ciutat Vella,1,el Raval,1,1002,..,135,1,2
2007,1,Ciutat Vella,1,el Raval,1,1002,..,65,3,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,58,4,1
2007,1,Ciutat Vella,1,el Raval,2,1003,5,58,4,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,11,2,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,233,2,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,54,2,1
2007,1,Ciutat Vella,1,el Raval,2,1003,..,54,2,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,1
2007,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,1
2007,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,1
2007,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,2
2007,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,1
2007,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,2
2007,1,Ciutat Vella,1,el Raval,2,1004,14,58,4,1
2007,1,Ciutat Vella,1,el Raval,2,1004,10,58,4,2
2007,1,Ciutat Vella,1,el Raval,2,1004,..,160,4,2
2007,1,Ciutat Vella,1,el Raval,2,1004,..,135,1,1
2007,1,Ciutat Vella,1,el Raval,2,1004,..,135,1,2
2007,1,Ciutat Vella,1,el Raval,2,1004,..,27,2,1
2007,1,Ciutat Vella,1,el Raval,2,1004,..,39,2,2
2007,1,Ciutat Vella,1,el Raval,2,1004,..,54,2,1
2007,1,Ciutat Vella,1,el Raval,2,1004,..,54,2,2
2007,1,Ciutat Vella,1,el Raval,2,1004,..,166,2,1
2007,1,Ciutat Vella,1,el Raval,2,1004,..,167,2,1
2007,1,Ciutat Vella,1,el Raval,2,1004,..,227,2,2
2007,1,Ciutat Vella,1,el Raval,2,1004,..,19,3,1
2007,1,Ciutat Vella,1,el Raval,2,1004,..,65,3,2
2007,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,1
2007,1,Ciutat Vella,1,el Raval,3,1005,8,58,4,1
2007,1,Ciutat Vella,1,el Raval,3,1005,8,58,4,2
2007,1,Ciutat Vella,1,el Raval,3,1005,..,4,4,1
2007,1,Ciutat Vella,1,el Raval,3,1005,..,135,1,2
2007,1,Ciutat Vella,1,el Raval,3,1005,..,39,2,1
2007,1,Ciutat Vella,1,el Raval,3,1005,..,233,2,1
2007,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,2
2007,1,Ciutat Vella,1,el Raval,3,1005,..,65,3,2
2007,1,Ciutat Vella,1,el Raval,3,1005,..,101,3,2
2007,1,Ciutat Vella,1,el Raval,3,1005,..,161,3,1
2007,1,Ciutat Vella,1,el Raval,3,1005,..,161,3,2
2007,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,1
2007,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,2
2007,1,Ciutat Vella,1,el Raval,3,1006,..,12,3,2
2007,1,Ciutat Vella,1,el Raval,3,1006,..,27,2,2
2007,1,Ciutat Vella,1,el Raval,3,1006,..,167,2,2
2007,1,Ciutat Vella,1,el Raval,3,1006,..,19,3,2
2007,1,Ciutat Vella,1,el Raval,3,1006,..,161,3,1
2007,1,Ciutat Vella,1,el Raval,3,1006,..,161,3,2
2007,1,Ciutat Vella,1,el Raval,3,1006,..,999,999,1
2007,1,Ciutat Vella,1,el Raval,3,1007,6,58,4,1
2007,1,Ciutat Vella,1,el Raval,3,1007,..,58,4,2
2007,1,Ciutat Vella,1,el Raval,3,1007,..,135,1,2
