Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,190,1
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,149,2
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,65,3
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,56,4
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,5
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,6
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,7
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,8
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,9
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,217,1
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,116,2
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,69,3
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,47,4
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,30,5
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,22,6
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,7
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,8
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,25,9
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,341,1
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,280,2
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,165,3
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,104,4
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,67,5
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,45,6
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,23,7
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,18,8
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,49,9
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,400,1
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,296,2
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,159,3
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,108,4
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,58,5
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,28,6
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,9,7
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,11,8
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,31,9
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,367,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,225,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,132,3
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,89,4
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,36,5
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,21,6
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,22,7
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,20,8
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,39,9
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,221,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,157,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,104,3
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,53,4
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,42,5
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,19,6
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,10,7
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,13,8
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,27,9
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,237,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,157,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,95,3
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,68,4
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,36,5
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,22,6
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,12,7
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,12,8
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,41,9
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,299,1
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,219,2
