Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,173,1
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,154,2
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,3
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,45,4
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,5
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,6
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,7
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,8
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,9
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,218,1
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,148,2
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,75,3
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,49,4
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,5
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,19,6
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,7
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,2,8
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,9
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,322,1
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,288,2
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,171,3
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,110,4
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,75,5
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,6
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,17,7
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,13,8
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,35,9
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,443,1
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,298,2
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,160,3
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,113,4
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,54,5
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,22,6
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,16,7
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,10,8
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,26,9
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,384,1
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,234,2
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,145,3
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,62,4
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,36,5
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,15,6
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,14,7
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,14,8
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,19,9
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,253,1
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,140,2
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,103,3
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,60,4
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,33,5
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,14,6
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,14,7
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,8
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,36,9
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,225,1
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,169,2
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,90,3
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,46,4
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,31,5
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,24,6
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,15,7
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,7,8
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,33,9
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,286,1
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,230,2
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,128,3
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,81,4
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,62,5
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,39,6
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,25,7
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,20,8
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,70,9
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,337,1
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,214,2
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,119,3
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,70,4
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,30,5
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,29,6
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,11,7
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,10,8
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,18,9
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,254,1
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,206,2
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,94,3
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,78,4
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,45,5
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,27,6
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,18,7
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,10,8
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,31,9
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,436,1
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,266,2
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,138,3
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,81,4
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,63,5
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,50,6
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,25,7
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,17,8
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,49,9
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,293,1
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,206,2
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,106,3
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,57,4
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,32,5
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,19,6
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,15,7
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,4,8
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,16,9
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,174,1
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,146,2
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,73,3
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,56,4
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,25,5
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,14,6
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,5,7
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,4,8
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,10,9
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,182,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,137,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,84,3
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,60,4
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,39,5
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,27,6
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,18,7
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,13,8
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,18,9
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,270,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,207,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,125,3
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,81,4
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,45,5
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,32,6
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,8,7
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,10,8
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,24,9
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,240,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,186,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,115,3
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,81,4
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,50,5
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,35,6
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,13,7
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,13,8
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,15,9
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,299,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,219,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,126,3
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,86,4
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,44,5
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,28,6
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,12,7
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,22,8
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,31,9
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,189,1
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,161,2
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,61,3
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,51,4
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,23,5
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,17,6
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,12,7
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,9,8
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,15,9
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,422,1
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,307,2
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,168,3
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,86,4
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,59,5
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,29,6
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,24,7
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,7,8
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,21,9
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,352,1
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,300,2
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,123,3
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,87,4
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,30,5
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,17,6
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,7,7
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,3,8
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,9,9
2007-01-01,1,Ciutat Vella,1,el Raval,8,1021,419,1
2007-01-01,1,Ciutat Vella,1,el Raval,8,1021,257,2
