Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_valors,Valors
2020,1,Ciutat Vella,1,el Raval,1,Valor_cadastral_total_€,152981193.62
2020,1,Ciutat Vella,1,el Raval,2,Valor_cadastral_total_€,101293664.91
2020,1,Ciutat Vella,1,el Raval,3,Valor_cadastral_total_€,128079723.25
2020,1,Ciutat Vella,1,el Raval,4,Valor_cadastral_total_€,197795326.76
2020,1,Ciutat Vella,1,el Raval,5,Valor_cadastral_total_€,261865752.89
2020,1,Ciutat Vella,1,el Raval,6,Valor_cadastral_total_€,117306234.87
2020,1,Ciutat Vella,1,el Raval,7,Valor_cadastral_total_€,108339216.59
2020,1,Ciutat Vella,1,el Raval,8,Valor_cadastral_total_€,75295957.15
2020,1,Ciutat Vella,1,el Raval,9,Valor_cadastral_total_€,69564482.86
2020,1,Ciutat Vella,1,el Raval,10,Valor_cadastral_total_€,67723382.91
2020,1,Ciutat Vella,1,el Raval,11,Valor_cadastral_total_€,107833509.13
2020,1,Ciutat Vella,1,el Raval,12,Valor_cadastral_total_€,68857048.73
2020,1,Ciutat Vella,1,el Raval,13,Valor_cadastral_total_€,52151054.86
2020,1,Ciutat Vella,1,el Raval,14,Valor_cadastral_total_€,51608734.22
2020,1,Ciutat Vella,1,el Raval,15,Valor_cadastral_total_€,80656246.04
2020,1,Ciutat Vella,1,el Raval,16,Valor_cadastral_total_€,74534728.27
2020,1,Ciutat Vella,1,el Raval,17,Valor_cadastral_total_€,60007202.12
2020,1,Ciutat Vella,1,el Raval,18,Valor_cadastral_total_€,130829717.24
2020,1,Ciutat Vella,1,el Raval,19,Valor_cadastral_total_€,205616617.94
2020,1,Ciutat Vella,1,el Raval,20,Valor_cadastral_total_€,304707280.02
2020,1,Ciutat Vella,1,el Raval,21,Valor_cadastral_total_€,435739606.23
2020,1,Ciutat Vella,2,el Gòtic,22,Valor_cadastral_total_€,822360154.97
2020,1,Ciutat Vella,2,el Gòtic,23,Valor_cadastral_total_€,624857380.81
2020,1,Ciutat Vella,2,el Gòtic,25,Valor_cadastral_total_€,229242292.22
2020,1,Ciutat Vella,2,el Gòtic,26,Valor_cadastral_total_€,221351505.07
2020,1,Ciutat Vella,2,el Gòtic,27,Valor_cadastral_total_€,191452707.71
2020,1,Ciutat Vella,2,el Gòtic,28,Valor_cadastral_total_€,344633190.90
2020,1,Ciutat Vella,2,el Gòtic,29,Valor_cadastral_total_€,171374378.04
2020,1,Ciutat Vella,2,el Gòtic,30,Valor_cadastral_total_€,261900569.95
2020,1,Ciutat Vella,2,el Gòtic,31,Valor_cadastral_total_€,153329901.63
2020,1,Ciutat Vella,3,la Barceloneta,32,Valor_cadastral_total_€,103166876.80
2020,1,Ciutat Vella,3,la Barceloneta,33,Valor_cadastral_total_€,47238302.91
2020,1,Ciutat Vella,3,la Barceloneta,34,Valor_cadastral_total_€,37057437.10
2020,1,Ciutat Vella,3,la Barceloneta,35,Valor_cadastral_total_€,46778891.67
2020,1,Ciutat Vella,3,la Barceloneta,36,Valor_cadastral_total_€,762269410.20
2020,1,Ciutat Vella,3,la Barceloneta,37,Valor_cadastral_total_€,55453558.81
2020,1,Ciutat Vella,3,la Barceloneta,38,Valor_cadastral_total_€,48994536.59
2020,1,Ciutat Vella,3,la Barceloneta,39,Valor_cadastral_total_€,65327608.13
2020,1,Ciutat Vella,3,la Barceloneta,40,Valor_cadastral_total_€,59088955.48
2020,1,Ciutat Vella,3,la Barceloneta,41,Valor_cadastral_total_€,57741818.56
2020,1,Ciutat Vella,3,la Barceloneta,42,Valor_cadastral_total_€,114777791.10
