Dte.,Barris,2011,2010,2009,2008,2007,,,
1,"1. el Raval","87,2","87,8","92,0","96,9","100,5",,,
1,"2. el Barri Gòtic","96,5","98,6","96,5","103,6","104,5",,,
1,"3. la Barceloneta","119,2","118,7","117,8","117,7","118,2",,,
1,"4. Sant Pere, Santa Caterina i la Ribera","101,8","101,7","99,2","103,4","104,2",,,
2,"5. el Fort Pienc","105,2","105,3","107,1","105,3","105,0",,,
2,"6. la Sagrada Família","104,2","103,4","102,0","104,8","106,0",,,
2,"7. la Dreta de l'Eixample","119,9","122,8","117,1","113,8","114,4",,,
2,"8. l'Antiga Esquerra de l'Eixample","113,7","113,3","113,9","114,4","114,9",,,
2,"9. la Nova Esquerra de l'Eixample","106,5","109,7","108,1","109,4","109,2",,,
2,"10. Sant Antoni","100,7","99,5","101,8","103,6","103,4",,,
3,"11. el Poble Sec - Parc Montjuïc","85,5","86,1","89,5","94,2","96,2",,,
3,"12. la Marina del Prat Vermell - Zona Franca",--,--,--,--,--,,,
3,"13. la Marina de Port","85,3","85,8","88,5","87,8","89,1",,,
3,"14. la Font de la Guatlla","84,7","87,8","91,0","89,4","91,1",,,
3,"15. Hostafrancs","87,0","88,7","90,5","94,4","97,8",,,
3,"16. la Bordeta","87,4","90,8","91,6","92,9","92,5",,,
3,"17. Sants - Badal","87,3","87,5","91,2","96,7","96,6",,,
3,"18. Sants","90,6","91,5","95,2","98,8","99,6",,,
4,"19. les Corts","124,1","118,3","114,5","116,6","113,0",,,
4,"20. la Maternitat i Sant Ramon","108,2","110,6","111,9","110,8","109,8",,,
4,"21. Pedralbes","152,8","162,0","148,3","137,0","133,7",,,
5,"22. Vallvidrera, el Tibidabo i les Planes","105,1","105,7","107,2","109,8","103,8",,,
5,"23. Sarrià","144,7","147,1","143,0","135,5","133,3",,,
5,"24. les Tres Torres","151,9","152,5","155,9","148,0","140,9",,,
5,"25. Sant Gervasi - la Bonanova","131,4","136,3","130,4","128,7","132,9",,,
5,"26. Sant Gervasi - Galvany","132,4","133,3","133,0","130,2","125,0",,,
5,"27. el Putxet i el Farró","117,7","116,3","120,0","118,9","116,5",,,
6,"28. Vallcarca i els Penitents","108,4","101,1","103,2","103,7","101,7",,,
6,"29. el Coll","89,7","92,1","93,3","94,1","94,0",,,
6,"30. la Salut","101,9","100,8","98,7","100,4","101,1",,,
6,"31. la Vila de Gràcia","108,1","111,1","110,2","107,5","106,9",,,
6,"32. el Camp d'en Grassot i Gràcia Nova","107,1","107,2","107,4","106,6","106,1",,,
7,"33. el Baix Guinardó","96,3","98,3","96,8","96,6","95,5",,,
7,"34. Can Baró","82,3","81,5","85,3","88,3","86,3",,,
7,"35. el Guinardó","90,3","90,6","92,0","93,4","94,3",,,
7,"36. la Font d'en Fargues","94,5","92,6","91,0","93,5","97,8",,,
7,"37. el Carmel","74,0","76,7","76,4","80,3","82,5",,,
7,"38. la Teixonera","77,3","78,6","81,2","85,6","84,3",,,
7,"39. Sant Genís dels Agudells","80,9","81,1","79,6","86,4","86,5",,,
7,"40. Montbau","82,4","84,7","88,8","90,2","90,0",,,
7,"41. la Vall d'Hebron","96,5","100,2","99,7","94,1","95,6",,,
7,"42. la Clota",--,--,--,--,--,,,
7,"43. Horta","86,7","86,3","89,7","91,4","93,4",,,
8,"44. Vilapicina i la Torre Llobeta","82,2","82,8","84,5","87,8","90,4",,,
8,"45. Porta","80,5","82,5","84,7","89,6","91,6",,,
8,"46. el Turó de la Peira","73,0","76,2","76,6","80,1","83,9",,,
8,"47. Can Peguera",--,--,--,--,--,,,
8,"48. la Guineueta","80,3","77,5","82,2","86,0","86,0",,,
8,"49. Canyelles","77,3","77,8","76,9","76,2","80,2",,,
8,"50. les Roquetes","66,9","68,2","74,5","75,4","79,8",,,
8,"51. Verdun","72,9","74,2","77,1","80,5","84,9",,,
8,"52. la Prosperitat","75,4","75,7","79,1","84,4","86,7",,,
8,"53. la Trinitat Nova","59,7","64,9","72,9","75,5","80,8",,,
8,"54. Torre Baró","53,4","53,4","64,5","63,0","72,8",,,
8,"55. Ciutat Meridiana","56,1","58,5","67,3","74,8","75,4",,,
8,"56. Vallbona",--,--,--,--,--,,,
9,"57. la Trinitat Vella","65,2","66,8","73,1","81,0","80,6",,,
9,"58. Baró de Viver","54,8","54,8","61,4","57,4","54,0",,,
9,"59. el Bon Pastor","80,7","82,5","83,1","82,0","85,4",,,
9,"60. Sant Andreu","88,3","87,8","91,4","92,3","95,0",,,
9,"61. la Sagrera","87,6","90,1","90,9","95,0","95,2",,,
9,"62. el Congrés i els Indians","80,0","83,0","87,2","89,1","94,0",,,
9,"63. Navas","85,9","89,3","95,9","94,8","95,5",,,
10,"64. el Camp de l'Arpa del Clot","93,4","94,0","95,7","96,5","99,2",,,
10,"65. el Clot","90,9","91,3","93,2","94,2","94,9",,,
10,"66. el Parc i la Llacuna del Poblenou","100,4","103,6","105,6","104,8","102,4",,,
10,"67. la Vila Olímpica del Poblenou","127,1","119,6","121,8","115,1","109,9",,,
10,"68. el Poblenou","108,5","104,6","104,9","105,1","103,6",,,
10,"69. Diagonal Mar i el Front Marítim del Poblenou","127,2","123,2","118,3","114,9","112,2",,,
10,"70. el Besòs i el Maresme","67,3","70,1","74,2","85,6","85,0",,,
10,"71. Provençals del Poblenou","97,5","98,3","100,0","96,8","98,5",,,
10,"72. Sant Martí de Provençals","77,4","78,7","80,7","85,7","89,2",,,
10,"73. la Verneda i la Pau","70,7","71,8","72,2","78,6","84,6",,,
